Score,Summary,Text,Sentiment,Content
1,CHECK THE SUGAR,"I would check the sugar grams before you buy and be forewarned. This seems a healthy snack but of the 140 calories per serving, 117 are from sugar! (26 grams) The Cherries and all others like this are the same.<br /><br />When seeing the deal, I thought what a great healthy snack until I looked at the calories and breakdown that includes how much sugar.",negative,"CHECK THE SUGAR. I would check the sugar grams before you buy and be forewarned. This seems a healthy snack but of the 140 calories per serving, 117 are from sugar! (26 grams) The Cherries and all others like this are the same.<br /><br />When seeing the deal, I thought what a great healthy snack until I looked at the calories and breakdown that includes how much sugar."
5,Great Product,"Like another reviewer (Purple Cloud); I've been purchasing this oil for at least 2 years or longer. I cook quite extenisvely and frequently utilize high end products and equipment to complete my recipes. Many of these items I either purchase online or in specialty food markets. I happened to be reading a cooking magazine or some such material that listed the health and cooking benefits of rice bran oil (helps to reduce cholesterol and it has none, has no trans fats, and has vitamin E among other benefits). This oil also has a very light, almost non-flavor which is great when you lightly sautee delicate vegetables, such as asparagus. I don't want my oil competing with the flavor of my food in some cases. Because of the light flavor, I actually bake with this oil and have absolutely no residual oil taste. I don't even think I own any canola or vegetable oil. I also love the fact that this has a high smoke point (490 degrees) higher than peanut oil as a matter of fact, which is absolutely great when I want to sear meat in a pan. As does everyone else, I also want to save as much money as I can, especially when I am purchasing high end products. To save money purchasing this oil, I actually order this directly from Honest Foods.com, which is cheaper than the listed Amazon price, although this oil is being sold here by Honest Foods. I also look for coupon codes when ordering from Honest Foods to save even more money. I typically also purchase two or more at a time and Honest Foods reduces the price to $8 per 1/2 gallon. I have never had my oil ""go bad"" and simply store it in a cupboard, and I do not deep fry anything, so it's not as if I use mass quantities in short duration. This is a great product and everyone should try it. Also, this product is made and processed right here in the United States.",positive,"Great Product. Like another reviewer (Purple Cloud); I've been purchasing this oil for at least 2 years or longer. I cook quite extenisvely and frequently utilize high end products and equipment to complete my recipes. Many of these items I either purchase online or in specialty food markets. I happened to be reading a cooking magazine or some such material that listed the health and cooking benefits of rice bran oil (helps to reduce cholesterol and it has none, has no trans fats, and has vitamin E among other benefits). This oil also has a very light, almost non-flavor which is great when you lightly sautee delicate vegetables, such as asparagus. I don't want my oil competing with the flavor of my food in some cases. Because of the light flavor, I actually bake with this oil and have absolutely no residual oil taste. I don't even think I own any canola or vegetable oil. I also love the fact that this has a high smoke point (490 degrees) higher than peanut oil as a matter of fact, which is absolutely great when I want to sear meat in a pan. As does everyone else, I also want to save as much money as I can, especially when I am purchasing high end products. To save money purchasing this oil, I actually order this directly from Honest Foods.com, which is cheaper than the listed Amazon price, although this oil is being sold here by Honest Foods. I also look for coupon codes when ordering from Honest Foods to save even more money. I typically also purchase two or more at a time and Honest Foods reduces the price to $8 per 1/2 gallon. I have never had my oil ""go bad"" and simply store it in a cupboard, and I do not deep fry anything, so it's not as if I use mass quantities in short duration. This is a great product and everyone should try it. Also, this product is made and processed right here in the United States."
5,This stuff rocks!,Wow. A product that is EXACTLY what the label says. One drop of EZ-SWEETS really does sweeten as much as one packet of Splenda. It has no aftertaste at all. No carbs. No calories. I keep one in my purse and one in my kitchen. This is my second order. I am a big fan of EZ-SWEETS. Great for hot or cold drinks and recipes. I hate chemical tasting sweeteners but this product is great. No funky flavors. All good. Recommend.,positive,This stuff rocks!. Wow. A product that is EXACTLY what the label says. One drop of EZ-SWEETS really does sweeten as much as one packet of Splenda. It has no aftertaste at all. No carbs. No calories. I keep one in my purse and one in my kitchen. This is my second order. I am a big fan of EZ-SWEETS. Great for hot or cold drinks and recipes. I hate chemical tasting sweeteners but this product is great. No funky flavors. All good. Recommend.
5,community coffee,the best coffee in the world! Very good and definitely convenient through amazon since you do not even have to leave your house and waste gas money,positive,community coffee. the best coffee in the world! Very good and definitely convenient through amazon since you do not even have to leave your house and waste gas money
4,Not my favorite but good for you!,"Not sure if I would buy this again- Didn't really enjoy the taste but its good for you, and made my body feel good after a workout- Must have chilled, horrible room temp- It was ok for coconut water I suppose, interested in trying other brands :)",positive,"Not my favorite but good for you!. Not sure if I would buy this again- Didn't really enjoy the taste but its good for you, and made my body feel good after a workout- Must have chilled, horrible room temp- It was ok for coconut water I suppose, interested in trying other brands :)"
5,Great stuff,I love this stuff. It has really helped me with a lot of things. I absolutely swear by it. I probably drink this tea at least once a week. Sometimes several times a day if I feel the need.,positive,Great stuff. I love this stuff. It has really helped me with a lot of things. I absolutely swear by it. I probably drink this tea at least once a week. Sometimes several times a day if I feel the need.
2,8 out of the 12 cans were seriously dented,"I did not post this under packaging review, because the order arrived fully sealed, no markings or damage to the outside box, but 8 out of the 12 cans were severly dented, so I had to assume they had been packaged that way.  They were even hard to open with the can opener.  I will still get my subscribed monthly order, but if it happens again I will probably cancel it.  I have no problems with the quality of the product, just very dissatisfied with the way it was mailed.",negative,"8 out of the 12 cans were seriously dented. I did not post this under packaging review, because the order arrived fully sealed, no markings or damage to the outside box, but 8 out of the 12 cans were severly dented, so I had to assume they had been packaged that way.  They were even hard to open with the can opener.  I will still get my subscribed monthly order, but if it happens again I will probably cancel it.  I have no problems with the quality of the product, just very dissatisfied with the way it was mailed."
5,So Peachy,"Hmm I just realized I drink more tea than I thought. This is some pretty good stuff, so can ya blame me? All I can say is Stash makes really good tea, my tea cozy hats off to ya! Seriously, you think I have a tea cozy? No my tea gets drank this way; one bag of tea, in one bottle of water. No boiling necessary. Nice peach flavor.",positive,"So Peachy. Hmm I just realized I drink more tea than I thought. This is some pretty good stuff, so can ya blame me? All I can say is Stash makes really good tea, my tea cozy hats off to ya! Seriously, you think I have a tea cozy? No my tea gets drank this way; one bag of tea, in one bottle of water. No boiling necessary. Nice peach flavor."
5,Great caffeine laden tea,"I've been drinking this Stash jasmine blossom green tea for the past 5 years because it's loaded with an unexpected kick of caffeine.  It's a good afternoon energy boost if you're not into coffee past 12PM, like me.  Give it a try.  The taste is decent too, make sure to drink it while it's very hot.",positive,"Great caffeine laden tea. I've been drinking this Stash jasmine blossom green tea for the past 5 years because it's loaded with an unexpected kick of caffeine.  It's a good afternoon energy boost if you're not into coffee past 12PM, like me.  Give it a try.  The taste is decent too, make sure to drink it while it's very hot."
5,Almonds with heat,"These almonds are delicious. When you first start chewing, they taste like the plain Smokehouse brand. After a few seconds the Jalapeno heat kicks in. Not overwhelming but just enough to make the snack wanting you to eat a few more. Only bad part is that they are not available in the 38oz tub or jar like the Habanero BBQ flavor that is a better value. If you like them as I do, you can go through a 6oz can very quickly.",positive,"Almonds with heat. These almonds are delicious. When you first start chewing, they taste like the plain Smokehouse brand. After a few seconds the Jalapeno heat kicks in. Not overwhelming but just enough to make the snack wanting you to eat a few more. Only bad part is that they are not available in the 38oz tub or jar like the Habanero BBQ flavor that is a better value. If you like them as I do, you can go through a 6oz can very quickly."
